epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,40.003,0.90619,0.47084,0.89257,0.89183,1,0.995,0.72496,1.11647,0.93909,0.90858,0.00132043,0.00132043,0.00132043
44,40.851,0.91007,0.46777,0.87411,0.94738,0.99765,0.995,0.73286,1.15483,0.85245,0.93222,0.00131218,0.00131218,0.00131218
45,41.676,0.90381,0.46313,0.88149,0.87327,0.98051,0.995,0.73167,1.15049,0.79711,0.93206,0.00130393,0.00130393,0.00130393
46,42.621,0.94032,0.46454,0.90067,0.97866,0.99814,0.995,0.73142,1.1613,0.72147,0.93438,0.00129568,0.00129568,0.00129568
47,43.41,0.93874,0.47528,0.89527,0.93562,0.97866,0.995,0.7399,1.13735,0.73692,0.9256,0.00128742,0.00128742,0.00128742
48,44.222,0.90515,0.46495,0.89057,0.64877,1,0.995,0.72245,1.12156,0.83279,0.91403,0.00127917,0.00127917,0.00127917
49,45.029,0.91977,0.46118,0.88682,0.79239,0.972,0.995,0.73394,1.09467,0.8279,0.9058,0.00127092,0.00127092,0.00127092
50,45.875,0.91796,0.48784,0.8854,0.65044,0.99604,0.995,0.74353,1.11603,0.78544,0.91542,0.00126267,0.00126267,0.00126267
51,46.698,0.93541,0.47659,0.89999,0.72291,0.99501,0.995,0.72678,1.18208,0.73588,0.93378,0.00125442,0.00125442,0.00125442
52,47.613,0.8711,0.4548,0.88175,0.94088,0.98301,0.99495,0.77053,1.0458,0.67711,0.89289,0.00124617,0.00124617,0.00124617
53,48.564,0.8715,0.44345,0.88029,0.89219,0.98229,0.99401,0.75653,1.05737,0.62578,0.89148,0.00123791,0.00123791,0.00123791
54,49.369,0.90431,0.4478,0.9048,0.94301,0.97702,0.99159,0.74115,1.09193,0.59422,0.90424,0.00122966,0.00122966,0.00122966
55,50.171,0.87265,0.45502,0.87821,0.94427,0.9954,0.99495,0.76638,1.07227,0.57982,0.8965,0.00122141,0.00122141,0.00122141
56,50.969,0.87082,0.45741,0.89206,0.91178,1,0.995,0.7701,1.05906,0.56394,0.89375,0.00121316,0.00121316,0.00121316
57,51.756,0.89198,0.45973,0.88063,0.91243,1,0.99431,0.74934,1.10747,0.60684,0.90176,0.00120491,0.00120491,0.00120491
58,52.562,0.85682,0.43912,0.87415,0.76409,0.97713,0.99368,0.74699,1.06893,0.7901,0.89282,0.00119666,0.00119666,0.00119666
59,53.338,0.83449,0.44921,0.86814,0.73913,0.98199,0.99465,0.74851,1.06973,0.77065,0.89238,0.0011884,0.0011884,0.0011884
60,54.146,0.86687,0.4422,0.86384,0.7736,0.99927,0.995,0.77136,1.02333,0.63184,0.88178,0.00118015,0.00118015,0.00118015
61,54.982,0.88431,0.44062,0.88745,0.7601,0.99753,0.99381,0.76819,1.0254,0.65223,0.87964,0.0011719,0.0011719,0.0011719
62,55.874,0.87447,0.45981,0.88671,0.69575,1,0.995,0.77409,1.04778,0.8182,0.88332,0.00116365,0.00116365,0.00116365
63,56.685,0.88445,0.46675,0.88635,0.6507,1,0.99381,0.76898,1.01243,0.82463,0.87497,0.0011554,0.0011554,0.0011554
64,57.476,0.90521,0.45043,0.89909,0.73104,0.9998,0.98479,0.7365,1.11706,0.85295,0.90253,0.00114715,0.00114715,0.00114715
65,58.231,0.88958,0.44348,0.88164,0.81936,0.99724,0.97892,0.7241,1.16973,0.83027,0.9147,0.00113889,0.00113889,0.00113889
66,59.034,0.85956,0.42114,0.86313,0.84811,0.97168,0.97758,0.75614,1.07561,0.66743,0.88668,0.00113064,0.00113064,0.00113064
67,59.824,0.86266,0.43257,0.87877,0.87347,0.97434,0.9798,0.73753,1.13162,0.64583,0.89907,0.00112239,0.00112239,0.00112239
68,60.682,0.87511,0.43695,0.87875,0.66222,1,0.99273,0.78082,1.05467,0.73105,0.87939,0.00111414,0.00111414,0.00111414
69,61.537,0.8265,0.41638,0.86115,0.64835,1,0.99381,0.77191,1.04018,0.74538,0.87774,0.00110589,0.00110589,0.00110589
70,62.389,0.84719,0.43535,0.86587,0.74801,1,0.995,0.7624,1.06242,0.67932,0.88503,0.00109764,0.00109764,0.00109764
71,63.281,0.86127,0.4369,0.86802,0.78134,0.98753,0.995,0.76939,1.04055,0.6149,0.88158,0.00108938,0.00108938,0.00108938
72,64.114,0.83252,0.43595,0.86971,0.82923,1,0.995,0.75773,1.09098,0.57314,0.88948,0.00108113,0.00108113,0.00108113
73,64.926,0.84254,0.43238,0.87516,0.86864,1,0.995,0.75756,1.07,0.57258,0.88354,0.00107288,0.00107288,0.00107288
74,65.766,0.8119,0.42271,0.87104,0.92465,1,0.995,0.76999,1.02591,0.52822,0.87615,0.00106463,0.00106463,0.00106463
75,66.585,0.87626,0.4297,0.87291,0.95758,1,0.995,0.77542,1.01828,0.51417,0.87581,0.00105638,0.00105638,0.00105638
76,67.43,0.86447,0.42117,0.88035,0.984,1,0.995,0.76743,1.05724,0.53175,0.88294,0.00104813,0.00104813,0.00104813
77,68.268,0.87049,0.42874,0.87517,0.96422,1,0.995,0.77141,1.04229,0.55284,0.87979,0.00103987,0.00103987,0.00103987
78,69.102,0.83079,0.42668,0.86538,0.90058,1,0.995,0.75003,1.09367,0.56476,0.89498,0.00103162,0.00103162,0.00103162
79,70.001,0.86492,0.43604,0.87239,0.84641,1,0.995,0.7391,1.09223,0.57914,0.88907,0.00102337,0.00102337,0.00102337
80,70.887,0.8359,0.42873,0.87513,0.93207,0.975,0.95839,0.72838,1.04166,0.60231,0.88487,0.00101512,0.00101512,0.00101512
81,71.968,0.85117,0.45098,0.86687,0.93559,0.975,0.98613,0.75041,1.06149,0.59601,0.89268,0.00100687,0.00100687,0.00100687
82,73.192,0.83906,0.42441,0.85346,0.93003,1,0.995,0.77504,1.03736,0.52184,0.88063,0.000998616,0.000998616,0.000998616
83,74.399,0.82296,0.43159,0.87895,0.97631,1,0.995,0.77714,1.02838,0.49908,0.87777,0.000990365,0.000990365,0.000990365
84,75.917,0.797,0.41231,0.84929,0.99526,1,0.995,0.77929,1.03199,0.51511,0.87634,0.000982113,0.000982113,0.000982113
85,77.254,0.80134,0.41498,0.85907,0.99619,1,0.995,0.78004,1.03877,0.49739,0.87697,0.000973861,0.000973861,0.000973861
86,78.382,0.84304,0.41734,0.87422,0.98789,1,0.995,0.78981,1.03814,0.47767,0.87853,0.00096561,0.00096561,0.00096561
87,79.974,0.83414,0.41124,0.85326,0.9888,1,0.995,0.78195,1.03828,0.48268,0.88155,0.000957358,0.000957358,0.000957358
88,81.176,0.7801,0.39024,0.8503,0.9863,1,0.995,0.79459,1.06158,0.47487,0.88455,0.000949106,0.000949106,0.000949106
89,82.664,0.82736,0.4005,0.85364,0.99142,1,0.995,0.78745,1.0574,0.48096,0.88388,0.000940855,0.000940855,0.000940855
